job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline,complexity,scope_size,urgency,cat_Auto,cat_Chimney,cat_Cleaning,cat_Electrical,cat_Exterior,cat_Flooring,cat_General Contractor,cat_HVAC,cat_Handyman,cat_Landscaping,cat_Moving,cat_Painting,cat_Pest Control,cat_Plumbing,cat_Pool,cat_Remodeling,cat_Roofing,deadline_I'm flexible,deadline_Within 1 month,deadline_Within 1-2 weeks,booking_month_numeric,interval_width,interval_width_ratio,cat_is_prod,price_is_high,interval_is_wide
job_000000,Plumbing,Fixture Installation,34365,2026-01,Install new water heater,94,1165,629,717.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1071,11.393616900067906,1,0,0
job_000001,Flooring,Flooring,50056,2026-03,Flooring,227,1559,893,765.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,1332,5.867841383842109,0,0,0
job_000002,Appliance Repair,Appliance Repair,62585,2026-02,Appliance Repair,236,1944,1090,,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,1708,7.237288104926745,0,0,0
job_000003,Auto,Auto,79914,2026-02,Auto,194,2485,1339,,I'm flexible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2291,11.809278289642895,0,0,0
job_000004,Flooring,Flooring,37309,2026-02,Flooring,179,2454,1316,,Within 1 month,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2275,12.709497135701133,0,0,0
job_000005,Appliance Repair,Appliance Repair,14708,2026-04,Appliance Repair,245,1520,882,970.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1275,5.204081611411912,0,0,0
job_000006,Landscaping,Landscaping,30092,2026-04,Landscaping,208,1804,1006,989.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4,1596,7.673076886187131,1,0,0
job_000007,Pool,Pool,10114,2026-04,Pool,166,2370,1268,1393.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4,2204,13.277108353752359,0,0,0
job_000008,Auto,Auto,76343,2026-01,Auto,239,1793,1016,,Within 1 month,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1554,6.502092023003799,0,0,0
job_000009,Electrical,Lighting,96098,2026-04,Install new outlets in kitchen,133,2111,1122,943.0,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1978,14.872180339306915,1,0,0
job_000010,Auto,Auto,38240,2026-01,Auto,176,2113,1144,,Within 1 month,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1937,11.005681755649535,0,0,0
job_000011,Pest Control,Termites,61378,2026-02,"Bed bug heat treatment, 2BR apartment",294,2239,1266,1086.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,1945,6.615646236001203,0,0,0
job_000012,Exterior,Exterior,18498,2026-01,Exterior,556,3377,1966,2023.0,Within 1 month,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2821,5.0737409980688115,1,0,0
job_000013,Auto,Auto,84192,2026-02,Auto,167,2091,1129,,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1924,11.520958014844563,0,0,0
job_000014,Plumbing,Leak Repair,40998,2026-04,Fix leaking bathroom faucet,114,1401,757,900.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4,1287,11.289473585180057,1,0,0
job_000015,Auto,Auto,62585,2026-03,Auto,179,2282,1230,1211.0,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2103,11.748603286320652,0,0,0
job_000016,Remodeling,Remodeling,69609,2026-02,Remodeling,219,1907,1063,987.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,1688,7.707762521882363,0,0,0
job_000017,Painting,Cabinet,90096,2026-03,Exterior house painting,344,2067,1205,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,1723,5.008720915672323,0,0,0
job_000018,Flooring,Flooring,87197,2026-04,Flooring,229,1589,909,,I'm flexible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1360,5.938864602887055,0,0,0
job_000019,Flooring,Flooring,74678,2026-01,Flooring,244,2093,1168,1357.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1849,7.577868821402177,0,0,0
job_000020,HVAC,AC Repair,79331,2026-03,AC unit repair and maintenance,152,2598,1375,1531.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2446,16.09210515728878,1,0,0
job_000021,Pool,Pool,21519,2026-03,Pool,238,2302,1270,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3,2064,8.67226887112492,0,0,0
job_000022,Electrical,Outlet Installation,31253,2026-04,Repair faulty electrical panel,119,2460,1289,1141.0,Within 1-2 weeks,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,2341,19.672268742249845,1,0,0
job_000023,Moving,Moving,94355,2026-02,Moving,165,1801,983,971.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2,1636,9.915151455059688,0,0,0
job_000024,Remodeling,Remodeling,77985,2026-03,Remodeling,205,1629,917,772.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,1424,6.946341429530042,0,0,0
job_000025,General Contractor,General Contractor,94392,2026-01,General Contractor,900,9922,5411,5778.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,9022,10.024444433306172,0,0,1
job_000026,Pool,Pool,83766,2026-02,Pool,201,1691,946,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2,1490,7.41293528650281,0,0,0
job_000027,Chimney,Chimney,42419,2026-02,Chimney,151,2414,1282,1450.0,Within 1 month,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2263,14.986754867637385,0,0,0
job_000028,Electrical,Lighting,25650,2026-02,Install new outlets in kitchen,136,1995,1065,,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1859,13.669117546550607,1,0,0
job_000029,Auto,Auto,69428,2026-04,Auto,246,1863,1054,857.0,I'm flexible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1617,6.573170704987111,0,0,0
job_000030,Electrical,Wiring,65514,2026-04,Repair faulty electrical panel,181,2167,1174,,I'm flexible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1986,10.972375629986875,1,0,0
job_000031,Electrical,Panel Upgrade,89713,2026-04,Install ceiling fan,165,1968,1066,,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1803,10.927272661046832,1,0,0
job_000032,Appliance Repair,Appliance Repair,45296,2026-03,Appliance Repair,227,2067,1147,1183.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,1840,8.105726836538649,0,0,0
job_000033,Chimney,Chimney,68264,2026-02,Chimney,167,1530,848,727.0,Within 1-2 weeks,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,1363,8.161676597834273,0,0,0
job_000034,Pool,Pool,97342,2026-02,Pool,187,2416,1301,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2,2229,11.919786032514514,0,0,0
job_000035,Appliance Repair,Appliance Repair,80674,2026-04,Appliance Repair,182,1563,872,,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1381,7.587912046220263,0,0,0
job_000036,HVAC,Furnace Maintenance,44146,2026-03,Install new thermostat,173,2704,1438,1381.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,2531,14.630057718901401,1,0,0
job_000037,Electrical,Wiring,23172,2026-03,Repair faulty electrical panel,184,1669,926,761.0,Within 1 month,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1485,8.070652130050803,1,0,0
job_000038,Electrical,Panel Upgrade,49983,2026-04,Repair faulty electrical panel,117,1598,857,813.0,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1481,12.658119549930602,1,0,0
job_000039,Flooring,Flooring,18781,2026-03,Flooring,184,1637,910,762.0,Within 1 month,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1453,7.896739087517722,0,0,0
job_000040,Exterior,Exterior,46991,2026-02,Exterior,440,3136,1788,,I'm flexible,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2696,6.127272713347107,1,0,0
job_000041,Auto,Auto,97219,2026-01,Auto,171,1529,850,842.0,Within 1-2 weeks,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1358,7.941520421394618,0,0,0
job_000042,General Contractor,General Contractor,22677,2026-01,General Contractor,750,10249,5499,,I'm flexible,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,9499,12.665333316446223,0,0,1
job_000043,Painting,Interior,72986,2026-02,Trim painting,349,2520,1434,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2171,6.220630354668681,0,0,0
job_000044,Remodeling,Remodeling,66913,2026-03,Remodeling,220,1564,892,934.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,3,1344,6.109090881322314,0,0,0
job_000045,Handyman,Handyman,82986,2026-02,Handyman,76,606,341,,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,530,6.973684118767315,1,0,0
job_000046,Flooring,Flooring,77754,2026-01,Flooring,200,1775,987,,I'm flexible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1575,7.874999960625001,0,0,0
job_000047,Moving,Moving,63390,2026-04,Moving,204,1899,1051,978.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1695,8.308823488682238,0,0,0
job_000048,Pest Control,General,94392,2026-04,Termite inspection and treatment,298,1534,916,946.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4,1236,4.1476509927931176,0,0,0
job_000049,Roofing,Roofing,20771,2026-03,Roofing,238,1589,913,776.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,1351,5.676470564384577,0,0,0
job_000050,Flooring,Flooring,75507,2026-03,Flooring,151,2457,1304,1291.0,Within 1 month,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,2306,15.271523077672033,0,0,0
job_000051,Chimney,Chimney,23070,2026-03,Chimney,243,1729,986,851.0,I'm flexible,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,1486,6.11522631228302,0,0,0
job_000052,Auto,Auto,23916,2026-01,Auto,186,1659,922,814.0,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1473,7.9193547961325015,0,0,0
job_000053,Landscaping,Landscaping,98087,2026-04,Landscaping,233,1235,734,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,1002,4.300429166092579,1,0,0
job_000054,Handyman,Handyman,34193,2026-03,Handyman,69,443,256,205.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,374,5.4202897765175395,1,0,0
job_000055,HVAC,Furnace Maintenance,66302,2026-03,AC unit repair and maintenance,158,2413,1285,1095.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,2255,14.272151808404102,1,0,0
job_000056,Remodeling,Remodeling,95369,2026-01,Remodeling,172,1902,1037,1096.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,1730,10.058139476406167,0,0,0
job_000057,Roofing,Roofing,96600,2026-04,Roofing,208,1687,947,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4,1479,7.110576888891457,0,0,0
job_000058,Landscaping,Landscaping,47653,2026-01,Landscaping,174,1390,782,690.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1216,6.988505706962611,1,0,0
job_000059,Electrical,Wiring,91508,2026-02,Install new outlets in kitchen,152,1787,969,822.0,Within 1-2 weeks,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,1635,10.756578876601456,1,0,0
job_000060,Moving,Moving,13652,2026-04,Moving,233,2496,1364,,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4,2263,9.712446310247012,0,0,0
job_000061,Auto,Auto,54720,2026-03,Auto,228,2289,1258,,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2061,9.039473644563712,0,0,0
job_000062,Exterior,Exterior,83695,2026-03,Exterior,499,3512,2005,2081.0,Within 1 month,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3013,6.038076140204256,1,0,0
