job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline,complexity,scope_size,urgency,cat_Auto,cat_Chimney,cat_Cleaning,cat_Electrical,cat_Exterior,cat_Flooring,cat_General Contractor,cat_HVAC,cat_Handyman,cat_Landscaping,cat_Moving,cat_Painting,cat_Pest Control,cat_Plumbing,cat_Pool,cat_Remodeling,cat_Roofing,deadline_I'm flexible,deadline_Within 1 month,deadline_Within 1-2 weeks,booking_month_numeric,interval_width,interval_width_ratio,cat_is_prod,price_is_high,interval_is_wide,price_ratio
job_000000,Plumbing,Fixture Installation,34365,2026-01,Install new water heater,94,1165,629,717.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1071,11.393616900067906,1,0,0,0.8772663865031152
job_000001,Flooring,Flooring,50056,2026-03,Flooring,227,1559,893,765.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,1332,5.867841383842109,0,0,0,1.1673202599119996
job_000005,Appliance Repair,Appliance Repair,14708,2026-04,Appliance Repair,245,1520,882,970.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1275,5.204081611411912,0,0,0,0.9092783495780635
job_000006,Landscaping,Landscaping,30092,2026-04,Landscaping,208,1804,1006,989.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4,1596,7.673076886187131,1,0,0,1.0171890788501627
job_000007,Pool,Pool,10114,2026-04,Pool,166,2370,1268,1393.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4,2204,13.277108353752359,0,0,0,0.9102656131297446
job_000009,Electrical,Lighting,96098,2026-04,Install new outlets in kitchen,133,2111,1122,943.0,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1978,14.872180339306915,1,0,0,1.1898197230224605
job_000011,Pest Control,Termites,61378,2026-02,"Bed bug heat treatment, 2BR apartment",294,2239,1266,1086.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,1945,6.615646236001203,0,0,0,1.1657458552801603
job_000012,Exterior,Exterior,18498,2026-01,Exterior,556,3377,1966,2023.0,Within 1 month,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2821,5.0737409980688115,1,0,0,0.9718240232467503
job_000014,Plumbing,Leak Repair,40998,2026-04,Fix leaking bathroom faucet,114,1401,757,900.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4,1287,11.289473585180057,1,0,0,0.8411111101765432
job_000015,Auto,Auto,62585,2026-03,Auto,179,2282,1230,1211.0,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2103,11.748603286320652,0,0,0,1.0156895119606197
job_000016,Remodeling,Remodeling,69609,2026-02,Remodeling,219,1907,1063,987.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,1688,7.707762521882363,0,0,0,1.0770010120800395
