job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline
job_000000,Plumbing,Fixture Installation,34365,2026-01,Install new water heater,94,1165,629,717,I'm flexible
job_000001,Flooring,Flooring,50056,2026-03,Flooring,227,1559,893,765,Within 1-2 weeks
job_000002,Appliance Repair,Appliance Repair,62585,2026-02,Appliance Repair,236,1944,1090,,I'm flexible
job_000003,Auto,Auto,79914,2026-02,Auto,194,2485,1339,,I'm flexible
job_000004,Flooring,Flooring,37309,2026-02,Flooring,179,2454,1316,,Within 1 month
job_000005,Appliance Repair,Appliance Repair,14708,2026-04,Appliance Repair,245,1520,882,970,I'm flexible
job_000006,Landscaping,Landscaping,30092,2026-04,Landscaping,208,1804,1006,989,I'm flexible
job_000007,Pool,Pool,10114,2026-04,Pool,166,2370,1268,1393,Within 1 month
job_000008,Auto,Auto,76343,2026-01,Auto,239,1793,1016,,Within 1 month
job_000009,Electrical,Lighting,96098,2026-04,Install new outlets in kitchen,133,2111,1122,943,As soon as possible
job_000010,Auto,Auto,38240,2026-01,Auto,176,2113,1144,,Within 1 month
job_000011,Pest Control,Termites,61378,2026-02,"Bed bug heat treatment, 2BR apartment",294,2239,1266,1086,As soon as possible
job_000012,Exterior,Exterior,18498,2026-01,Exterior,556,3377,1966,2023,Within 1 month
job_000013,Auto,Auto,84192,2026-02,Auto,167,2091,1129,,As soon as possible
job_000014,Plumbing,Leak Repair,40998,2026-04,Fix leaking bathroom faucet,114,1401,757,900,Within 1-2 weeks
job_000015,Auto,Auto,62585,2026-03,Auto,179,2282,1230,1211,As soon as possible
job_000016,Remodeling,Remodeling,69609,2026-02,Remodeling,219,1907,1063,987,Within 1 month
job_000017,Painting,Cabinet,90096,2026-03,Exterior house painting,344,2067,1205,,Within 1 month
job_000018,Flooring,Flooring,87197,2026-04,Flooring,229,1589,909,,I'm flexible
job_000019,Flooring,Flooring,74678,2026-01,Flooring,244,2093,1168,1357,Within 1-2 weeks
job_000020,HVAC,AC Repair,79331,2026-03,AC unit repair and maintenance,152,2598,1375,1531,Within 1 month
job_000021,Pool,Pool,21519,2026-03,Pool,238,2302,1270,,Within 1 month
job_000022,Electrical,Outlet Installation,31253,2026-04,Repair faulty electrical panel,119,2460,1289,1141,Within 1-2 weeks
job_000023,Moving,Moving,94355,2026-02,Moving,165,1801,983,971,Within 1 month
job_000024,Remodeling,Remodeling,77985,2026-03,Remodeling,205,1629,917,772,Within 1 month
job_000025,General Contractor,General Contractor,94392,2026-01,General Contractor,900,9922,5411,5778,Within 1-2 weeks
job_000026,Pool,Pool,83766,2026-02,Pool,201,1691,946,,Within 1 month
job_000027,Chimney,Chimney,42419,2026-02,Chimney,151,2414,1282,1450,Within 1 month
job_000028,Electrical,Lighting,25650,2026-02,Install new outlets in kitchen,136,1995,1065,,As soon as possible
job_000029,Auto,Auto,69428,2026-04,Auto,246,1863,1054,857,I'm flexible
job_000030,Electrical,Wiring,65514,2026-04,Repair faulty electrical panel,181,2167,1174,,I'm flexible
job_000031,Electrical,Panel Upgrade,89713,2026-04,Install ceiling fan,165,1968,1066,,As soon as possible
job_000032,Appliance Repair,Appliance Repair,45296,2026-03,Appliance Repair,227,2067,1147,1183,Within 1-2 weeks
job_000033,Chimney,Chimney,68264,2026-02,Chimney,167,1530,848,727,Within 1-2 weeks
job_000034,Pool,Pool,97342,2026-02,Pool,187,2416,1301,,Within 1 month
job_000035,Appliance Repair,Appliance Repair,80674,2026-04,Appliance Repair,182,1563,872,,As soon as possible
job_000036,HVAC,Furnace Maintenance,44146,2026-03,Install new thermostat,173,2704,1438,1381,I'm flexible
job_000037,Electrical,Wiring,23172,2026-03,Repair faulty electrical panel,184,1669,926,761,Within 1 month
job_000038,Electrical,Panel Upgrade,49983,2026-04,Repair faulty electrical panel,117,1598,857,813,As soon as possible
job_000039,Flooring,Flooring,18781,2026-03,Flooring,184,1637,910,762,Within 1 month
job_000040,Exterior,Exterior,46991,2026-02,Exterior,440,3136,1788,,I'm flexible
job_000041,Auto,Auto,97219,2026-01,Auto,171,1529,850,842,Within 1-2 weeks
job_000042,General Contractor,General Contractor,22677,2026-01,General Contractor,750,10249,5499,,I'm flexible
job_000043,Painting,Interior,72986,2026-02,Trim painting,349,2520,1434,,Within 1 month
job_000044,Remodeling,Remodeling,66913,2026-03,Remodeling,220,1564,892,934,I'm flexible
job_000045,Handyman,Handyman,82986,2026-02,Handyman,76,606,341,,As soon as possible
job_000046,Flooring,Flooring,77754,2026-01,Flooring,200,1775,987,,I'm flexible
job_000047,Moving,Moving,63390,2026-04,Moving,204,1899,1051,978,I'm flexible
job_000048,Pest Control,General,94392,2026-04,Termite inspection and treatment,298,1534,916,946,Within 1-2 weeks
job_000049,Roofing,Roofing,20771,2026-03,Roofing,238,1589,913,776,As soon as possible
job_000050,Flooring,Flooring,75507,2026-03,Flooring,151,2457,1304,1291,Within 1 month
job_000051,Chimney,Chimney,23070,2026-03,Chimney,243,1729,986,851,I'm flexible
job_000052,Auto,Auto,23916,2026-01,Auto,186,1659,922,814,As soon as possible
job_000053,Landscaping,Landscaping,98087,2026-04,Landscaping,233,1235,734,,Within 1 month
job_000054,Handyman,Handyman,34193,2026-03,Handyman,69,443,256,205,I'm flexible
job_000055,HVAC,Furnace Maintenance,66302,2026-03,AC unit repair and maintenance,158,2413,1285,1095,I'm flexible
job_000056,Remodeling,Remodeling,95369,2026-01,Remodeling,172,1902,1037,1096,Within 1-2 weeks
job_000057,Roofing,Roofing,96600,2026-04,Roofing,208,1687,947,,Within 1 month
job_000058,Landscaping,Landscaping,47653,2026-01,Landscaping,174,1390,782,690,As soon as possible
job_000059,Electrical,Wiring,91508,2026-02,Install new outlets in kitchen,152,1787,969,822,Within 1-2 weeks
job_000060,Moving,Moving,13652,2026-04,Moving,233,2496,1364,,Within 1 month
job_000061,Auto,Auto,54720,2026-03,Auto,228,2289,1258,,As soon as possible
job_000062,Exterior,Exterior,83695,2026-03,Exterior,499,3512,2005,2081,Within 1 month
job_000063,General Contractor,General Contractor,18526,2026-01,General Contractor,1009,12172,6590,7180,Within 1-2 weeks
job_000064,Pest Control,Termites,59295,2026-01,Termite inspection and treatment,348,1793,1070,,I'm flexible
job_000065,Moving,Moving,68170,2026-02,Moving,227,1760,993,1037,Within 1-2 weeks
